"Media origin";Date;Afghanistan;Argentina;Australia;Austria;Bahrain;Belgium;Brazil;Canada;Chile;China;Colombia;"Czech Republic";Denmark;Ecuador;Egypt;Finland;France;Georgia;Germany;"Hong Kong";Hungary;India;Indonesia;Iran;Iraq;Israel;Italy;Japan;Jordan;Malaysia;Mexico;Morocco;Netherlands;Norway;Oman;Pakistan;Peru;Philippines;Poland;Qatar;Russia;"Saudi Arabia";"South Korea";Spain;Sweden;Syria;Taiwan;Thailand;Turkey;Ukraine;"United Arab Emirates";"United Kingdom";"United States";Uruguay;Venezuela;Vietnam;Yemen
Foreign;2025-01-11;-0.6;1.2;0.6;-0.1;-1.0;0.4;-0.4;1.4;-0.5;0.4;0.5;-0.2;-0.3;0.2;2.1;0.0;-0.7;-0.7;1.1;0.1;0.6;0.5;1.9;-0.1;-1.4;-0.7;-0.2;-0.3;-0.2;-0.4;2.4;2.4;1.4;-0.4;-0.3;0.9;0.5;0.1;0.4;-0.7;-0.6;-0.3;-0.1;1.6;0.0;-1.2;-0.1;0.9;0.8;-0.9;0.0;0.7;-0.6;-0.9;-0.3;0.4;0.2
Foreign;2025-01-12;-1.0;1.3;0.5;-0.1;-1.1;0.4;-0.4;1.4;-0.6;0.4;0.4;-0.3;-0.2;0.2;2.2;-0.1;-0.5;-0.7;1.2;0.1;0.6;0.6;2.1;0.0;-0.9;-0.7;-0.1;-0.4;-0.2;-0.3;2.3;2.2;1.5;-0.4;-0.5;0.9;0.2;0.2;0.3;-0.7;-0.6;-0.3;-0.1;1.6;0.0;-1.2;0.0;0.8;0.8;-0.9;0.0;0.6;-0.6;-1.1;-0.4;0.4;0.1
Foreign;2025-01-13;-1.0;1.4;0.4;-0.2;-1.1;0.4;-0.4;1.3;-0.7;0.4;0.4;-0.3;-0.1;0.0;2.3;-0.2;-0.4;-0.7;1.3;0.1;0.6;0.6;2.1;0.0;-0.9;-0.7;-0.2;-0.4;-0.2;-0.2;2.1;2.2;1.6;-0.3;-0.5;0.9;0.1;0.2;0.3;-0.8;-0.6;-0.3;-0.1;1.6;0.0;-1.2;-0.1;0.8;0.8;-0.9;0.0;0.7;-0.7;-1.1;-0.3;0.4;0.1
Foreign;2025-01-14;-1.0;1.3;0.3;-0.2;-1.1;0.5;-0.5;1.4;-0.7;0.3;0.4;-0.3;-0.1;0.0;2.2;-0.4;-0.2;-0.7;1.3;0.1;0.7;0.6;2.0;-0.1;-0.9;-0.7;-0.2;-0.4;-0.1;-0.3;2.2;2.4;1.6;-0.3;-0.5;1.0;-0.1;0.2;0.2;-0.9;-0.6;-0.3;-0.1;1.6;0.0;-1.0;0.0;0.8;0.7;-0.9;0.0;0.7;-0.7;-1.2;-0.4;0.4;0.1
Foreign;2025-01-15;-1.0;1.2;0.5;-0.1;-1.1;0.5;-0.6;1.4;-0.9;0.3;0.4;-0.4;-0.2;0.1;2.1;-0.5;-0.2;-0.7;1.5;0.1;0.7;0.6;2.1;0.0;-0.8;-0.7;-0.3;-0.5;0.0;-0.3;2.3;2.4;1.5;-0.3;-0.5;1.0;-0.1;0.2;0.2;-0.9;-0.6;-0.3;-0.2;1.5;-0.2;-1.1;0.0;0.7;0.8;-0.9;0.0;0.8;-0.7;-1.2;-0.4;0.4;0.0
Foreign;2025-01-16;-1.0;1.2;0.5;-0.2;-1.1;0.4;-0.6;1.5;-0.9;0.2;0.5;-0.3;-0.3;0.2;2.0;-0.5;0.0;-0.7;1.5;0.1;0.5;0.6;2.1;-0.1;-0.8;-0.7;-0.3;-0.3;0.0;-0.2;2.3;2.3;1.6;-0.3;-0.5;1.0;-0.1;0.3;0.1;-0.9;-0.6;-0.3;-0.2;1.5;-0.1;-1.1;0.0;0.8;1.0;-0.9;0.0;0.7;-0.7;-1.1;-0.4;0.4;0.0
Foreign;2025-01-17;-1.0;1.2;0.4;-0.3;-1.1;0.4;-0.5;1.8;-1.0;0.1;0.6;-0.4;-0.3;0.3;1.9;-0.5;0.0;-0.7;1.7;0.1;0.6;0.6;2.1;-0.1;-0.8;-0.7;-0.2;-0.3;0.1;-0.3;2.3;2.3;1.5;-0.3;-0.5;1.1;-0.1;0.3;0.1;-0.8;-0.6;-0.3;-0.1;1.5;-0.2;-1.1;0.1;0.7;1.1;-0.9;0.0;0.7;-0.6;-1.2;-0.4;0.3;0.0
Foreign;2025-01-18;-1.0;1.2;0.4;-0.3;-1.1;0.4;-0.5;1.9;-1.2;0.1;0.6;-0.3;-0.1;0.3;1.8;-0.4;0.1;-0.7;1.8;0.1;0.4;0.6;2.1;-0.1;-0.8;-0.7;0.0;-0.4;0.1;-0.4;2.3;2.2;1.7;-0.3;-0.5;1.1;0.0;0.4;0.2;-0.8;-0.6;-0.3;-0.1;1.5;-0.2;-0.8;0.1;1.0;1.2;-0.9;-0.1;0.8;-0.6;-1.3;-0.4;0.3;0.0
Foreign;2025-01-19;-1.0;1.1;0.4;-0.2;-1.1;0.4;-0.5;2.0;-1.1;0.0;0.6;-0.3;0.0;0.2;1.7;-0.3;0.1;-0.7;2.0;0.1;0.5;0.7;2.2;-0.1;-0.9;-0.7;0.0;-0.3;0.1;-0.3;2.2;2.1;1.8;-0.3;-0.5;1.1;0.1;0.3;0.3;-0.7;-0.6;-0.2;-0.1;1.4;-0.1;-0.8;0.2;1.0;1.0;-0.9;-0.1;0.6;-0.5;-1.2;-0.4;0.3;0.0
Foreign;2025-01-20;-0.8;0.9;0.6;-0.1;-1.1;0.5;-0.4;2.1;-1.1;0.0;0.7;-0.1;0.1;0.4;1.5;-0.2;0.1;-0.7;2.3;0.3;0.7;0.7;2.2;-0.2;-0.9;-0.7;0.1;-0.3;0.1;-0.3;2.2;2.4;1.8;-0.3;-0.5;1.1;0.2;0.4;0.5;-0.8;-0.6;-0.2;-0.1;1.4;0.0;-0.7;0.2;1.1;1.0;-0.9;-0.1;0.7;-0.5;-1.3;-0.4;0.3;0.0
Foreign;2025-01-21;-0.8;0.8;0.6;0.0;-0.9;0.3;-0.4;2.2;-1.1;-0.1;0.8;-0.1;0.1;0.4;1.4;-0.1;0.3;-0.7;2.6;0.4;0.6;0.8;2.3;-0.1;-0.8;-0.7;0.1;-0.2;0.1;-0.2;2.1;2.4;1.9;-0.3;-0.8;1.3;0.1;0.5;0.6;-0.8;-0.6;-0.2;0.0;1.6;-0.1;-0.7;0.2;1.3;1.0;-0.9;-0.7;0.7;-0.4;-1.3;-0.4;0.3;0.1
Foreign;2025-01-22;-0.8;0.9;0.7;0.1;-0.9;0.4;-0.4;2.2;-1.1;-0.4;0.8;0.0;0.2;0.4;1.0;0.0;0.7;-0.7;2.7;0.5;0.6;0.8;2.2;-0.1;-0.9;-0.7;0.2;-0.2;0.1;-0.2;2.1;2.2;1.8;-0.3;-1.0;1.5;0.4;0.5;0.7;-0.7;-0.6;-0.2;0.0;1.7;0.2;-0.8;0.3;1.3;0.9;-0.9;-0.7;0.9;-0.3;-1.3;-0.4;0.3;0.0
Foreign;2025-01-23;-0.8;0.9;0.8;0.1;-0.7;0.4;-0.4;2.3;-1.3;-0.4;0.6;0.1;0.2;0.3;1.0;0.0;0.7;-0.6;2.7;0.6;0.7;0.8;2.3;-0.2;-0.8;-0.7;0.3;-0.1;0.0;-0.1;2.1;2.1;1.9;-0.2;-1.0;1.5;0.5;0.4;0.7;-0.6;-0.5;-0.2;0.0;1.7;0.2;-0.8;0.3;1.5;0.9;-0.9;-0.7;0.8;-0.3;-1.3;-0.5;0.4;0.0
Foreign;2025-01-24;-0.8;1.0;0.8;0.0;-0.7;-0.1;-0.4;2.3;-1.3;-0.4;0.6;0.3;0.2;0.3;0.8;0.0;0.7;-0.6;2.8;0.5;0.7;0.8;2.4;-0.3;-0.8;-0.7;0.4;-0.1;0.0;-0.2;2.0;1.9;1.9;-0.2;-1.0;1.5;0.5;0.3;0.7;-0.6;-0.5;-0.2;0.0;1.8;0.2;-0.8;0.2;1.4;1.1;-0.8;-0.5;0.8;-0.3;-1.3;-0.5;0.4;0.0
Foreign;2025-01-25;-0.8;1.0;1.1;0.0;-0.4;-0.2;-0.4;2.3;-1.1;-0.4;0.6;0.3;0.1;0.4;0.7;0.1;0.7;-0.6;2.7;0.5;0.6;0.8;2.6;-0.2;-0.8;-0.7;0.4;-0.1;-0.1;-0.1;2.0;1.8;1.9;-0.2;-1.0;1.5;0.7;0.4;0.8;-0.6;-0.5;-0.2;0.0;1.8;0.2;-0.9;0.2;1.5;1.1;-0.8;-0.5;0.9;-0.2;-1.2;-0.5;0.4;0.0
Foreign;2025-01-26;-0.8;1.0;1.0;0.0;0.3;-0.2;-0.4;2.4;-1.0;-0.4;0.5;-0.2;0.1;0.5;0.5;0.3;0.7;0.1;2.8;0.6;0.6;0.8;2.5;0.1;-0.8;-0.7;0.4;0.1;-0.1;0.1;2.1;1.8;2.0;-0.2;-1.0;1.5;0.9;0.6;0.6;-0.5;-0.5;-0.2;0.0;1.7;0.2;-0.7;0.2;1.6;1.0;-0.8;-0.3;0.9;-0.1;-1.2;-0.5;0.4;0.0
Foreign;2025-01-27;-0.8;1.0;1.3;-0.1;-0.4;-0.4;-0.3;2.5;-1.1;-0.5;0.5;-0.2;0.1;0.5;0.5;0.3;0.8;0.1;2.9;0.6;0.6;0.9;2.5;0.0;-0.7;-0.7;0.5;0.2;-0.1;0.2;2.1;1.6;2.0;-0.2;-1.0;1.5;1.2;0.8;0.6;-0.5;-0.4;-0.2;0.0;1.8;0.2;-0.5;0.2;1.6;1.0;-0.8;-0.5;0.9;0.1;-1.2;-0.5;0.4;0.2
Foreign;2025-01-28;-1.0;1.1;1.2;-0.1;-0.4;-0.4;-0.2;2.6;-1.0;-0.6;0.5;-0.1;0.1;0.5;0.3;0.1;0.6;0.1;2.9;0.7;0.5;1.0;2.5;0.1;-0.7;-0.7;0.5;0.2;-0.2;0.1;2.0;1.5;1.9;-0.2;-1.0;1.6;1.3;0.9;0.5;-0.7;-0.3;-0.2;0.0;1.9;0.1;-0.6;0.2;1.6;1.0;-0.8;-0.6;1.0;0.3;-1.2;-0.5;0.4;0.4
Foreign;2025-01-29;-1.3;1.1;1.3;0.1;-0.4;-0.4;-0.2;2.6;-1.0;-0.6;0.4;0.0;0.2;0.4;0.1;0.3;0.6;0.1;3.1;0.7;0.5;1.0;2.3;0.0;-0.7;-0.7;0.5;0.2;-0.3;-0.1;2.0;1.4;1.9;-0.2;-1.0;1.5;1.3;1.0;0.5;-0.8;-0.2;-0.2;0.0;1.9;0.1;-0.4;0.2;1.7;1.0;-0.8;-0.6;1.2;0.3;-1.2;-0.6;0.3;0.3
Foreign;2025-01-30;-1.3;1.1;1.4;0.2;-0.4;-0.5;-0.1;2.8;-0.9;-0.8;0.4;-0.1;0.2;0.5;0.0;0.2;0.6;0.1;3.1;0.6;0.6;1.0;2.1;-0.1;-0.7;-0.7;0.5;0.2;-0.4;-0.1;2.0;1.3;1.9;-0.2;-1.3;1.5;1.3;1.0;0.4;-0.7;-0.2;-0.2;0.1;1.9;0.1;-0.4;0.2;1.6;1.1;-0.8;-0.9;1.1;0.4;-1.2;-0.5;0.3;0.3
Foreign;2025-01-31;-1.3;1.2;1.5;0.2;-0.4;-0.6;-0.1;2.9;-0.9;-0.9;0.6;-0.1;0.2;0.5;-0.1;0.2;0.7;0.1;3.1;0.5;0.3;1.2;2.1;-0.1;-0.7;-0.7;0.5;0.3;-0.4;0.0;2.1;1.3;2.0;-0.2;-1.3;1.5;1.2;0.9;0.4;-0.6;-0.1;-0.2;0.1;1.9;0.1;-0.5;0.2;1.7;1.1;-0.8;-0.9;1.3;0.5;-1.1;-0.6;0.3;0.3
Foreign;2025-02-01;-1.3;1.2;1.5;0.3;-0.4;-0.4;0.2;3.1;-0.7;-0.9;0.5;0.0;0.3;0.6;-0.1;0.2;0.8;0.1;3.1;0.5;0.3;1.9;2.0;-0.2;-0.7;-0.7;0.5;0.2;-0.3;-0.2;2.1;1.3;1.8;-0.2;-1.5;1.6;1.4;0.8;0.6;-0.6;-0.1;-0.2;0.1;1.9;0.3;-0.5;0.2;1.6;1.2;-0.8;-0.9;1.5;0.6;-1.1;-0.5;0.4;0.7
Foreign;2025-02-02;-1.3;1.2;1.4;0.4;-0.4;-0.4;0.3;3.3;-0.7;-0.9;0.6;0.1;0.2;0.6;0.1;0.2;0.9;0.1;3.4;0.6;0.2;2.3;2.0;-0.1;-0.7;-0.7;0.5;0.3;-0.4;-0.3;2.3;0.8;2.1;-0.1;-1.5;1.6;1.6;0.9;0.7;-0.5;-0.1;-0.2;0.2;2.1;0.9;-0.3;0.2;1.5;1.2;-0.7;-0.9;1.8;0.9;-1.1;-0.5;0.5;0.7
Foreign;2025-02-03;-1.6;1.2;1.3;0.5;-0.4;-0.3;0.4;3.3;-0.7;-1.0;0.6;0.2;0.3;0.5;0.1;0.4;1.0;0.1;3.6;0.6;0.2;2.6;2.2;-0.1;-0.5;-0.7;0.7;0.3;-0.5;-0.2;2.2;0.9;2.4;0.0;-1.5;1.7;1.8;0.9;0.8;-0.5;0.0;-0.2;0.2;2.3;1.2;-0.3;0.3;1.7;1.4;-0.7;-0.7;2.1;1.1;-1.2;-0.5;0.6;0.8
Foreign;2025-02-04;-1.6;1.3;1.4;0.5;-0.4;-0.2;0.6;3.4;-0.6;-1.0;0.6;0.3;0.3;0.5;0.1;0.5;1.0;0.1;3.8;0.6;0.2;2.7;2.2;-0.1;-0.3;-0.7;0.8;0.3;-0.6;0.0;2.1;0.9;2.6;0.0;-1.5;1.8;1.9;0.7;0.8;-0.5;0.1;-0.2;0.2;2.3;1.2;-0.3;0.4;1.9;1.6;-0.7;-0.7;2.0;1.2;-1.2;-0.5;0.6;0.8
Foreign;2025-02-05;-1.6;1.3;1.6;0.6;-0.1;-0.2;0.8;3.5;-0.6;-1.0;0.6;0.4;0.3;0.6;0.1;0.5;1.1;0.2;3.9;0.6;0.3;2.7;2.1;-0.1;-0.3;-0.7;1.0;0.4;-0.6;-0.1;2.1;1.0;2.5;0.0;-1.5;1.7;1.7;0.8;0.9;-0.5;0.1;-0.2;0.2;2.4;1.3;-0.2;0.4;1.8;1.4;-0.7;-0.8;1.9;1.3;-1.3;-0.5;0.6;0.8
Foreign;2025-02-06;-1.6;1.3;1.7;0.5;0.1;-0.1;0.8;3.6;-0.5;-1.0;0.7;0.2;0.5;0.5;0.1;0.5;1.4;0.7;3.8;0.8;0.1;2.8;2.2;-0.1;-0.3;-0.7;1.0;0.4;-0.6;-0.1;2.2;1.2;2.6;0.0;-1.5;1.7;1.8;0.7;1.1;-0.5;0.1;-0.2;0.3;2.5;1.3;0.0;0.4;1.8;1.5;-0.7;-0.8;1.9;1.3;-1.3;-0.5;0.7;0.8
Foreign;2025-02-07;-1.6;1.3;1.8;0.5;0.1;-0.1;0.9;3.7;-0.5;-0.9;0.8;0.1;0.5;0.4;0.2;0.6;1.5;0.7;3.9;0.8;0.0;2.8;2.2;-0.2;-0.3;-0.7;1.1;0.4;-0.6;0.0;2.2;1.2;2.5;0.0;-1.5;1.7;1.7;0.7;1.1;-0.4;0.2;-0.2;0.3;2.5;1.3;0.1;0.3;2.0;1.5;-0.7;-0.8;1.9;1.4;-1.3;-0.4;0.7;0.7
Foreign;2025-02-08;-1.6;1.3;1.8;0.5;0.1;-0.1;1.0;3.7;-0.4;-0.8;1.0;0.1;0.6;0.3;0.2;0.6;1.5;0.5;3.9;0.9;0.1;2.7;2.3;0.0;-0.1;-0.7;1.2;0.3;-0.7;0.1;2.1;1.2;2.6;0.1;-0.8;1.8;1.8;0.7;1.1;-0.4;0.2;-0.2;0.3;2.6;1.2;0.2;0.3;2.0;1.7;-0.7;-0.5;1.4;1.5;-1.3;-0.4;0.6;0.5
Foreign;2025-02-09;-1.1;1.2;1.8;0.5;0.1;0.1;1.1;3.7;-0.4;-0.9;1.0;0.1;0.9;0.2;0.2;0.9;1.5;0.5;3.8;0.9;0.1;2.7;2.2;-0.2;-0.7;-0.8;1.2;0.5;-0.8;0.0;2.1;1.1;2.5;0.1;-0.8;1.8;1.9;0.7;1.1;-0.4;0.2;-0.2;0.3;2.7;1.3;0.2;0.4;2.0;2.0;-0.7;-0.4;1.4;1.5;-1.1;-0.4;0.7;0.8
Foreign;2025-02-10;-1.1;1.3;2.0;0.6;0.1;0.2;1.2;3.7;-0.4;-0.9;1.1;0.2;0.8;0.1;0.1;0.9;1.3;0.5;3.9;0.8;0.1;2.8;2.1;-0.2;-0.5;-0.8;1.3;0.6;-0.8;0.0;2.1;1.2;2.6;0.2;-0.8;1.7;2.0;0.6;1.1;-0.4;0.2;-0.2;0.3;2.9;1.3;0.3;0.5;2.2;2.0;-0.6;-0.4;1.6;1.6;-0.9;-0.3;0.9;1.2
Foreign;2025-02-11;-0.4;1.4;2.2;0.8;0.1;0.1;1.2;3.8;-0.4;-0.8;1.2;0.2;0.9;0.1;0.1;1.0;1.2;0.5;4.1;1.1;0.1;2.9;2.2;-0.3;-0.4;-0.8;1.4;0.6;-0.9;0.0;2.1;1.1;2.7;0.3;-0.8;1.7;2.1;0.6;1.3;-0.4;0.3;-0.2;0.4;2.9;1.4;0.2;0.6;2.4;2.0;-0.6;-0.3;1.7;1.7;-0.9;-0.3;1.1;1.2
Foreign;2025-02-12;-0.1;1.5;2.1;0.7;0.1;0.1;1.3;3.9;-0.4;-0.9;1.2;0.3;0.8;0.0;0.1;1.0;1.1;0.5;3.9;1.1;0.0;2.9;2.1;-0.2;-0.3;-0.8;1.4;0.7;-1.1;-0.1;2.0;1.2;3.0;0.3;-0.5;1.8;2.1;0.6;1.4;-0.4;0.2;-0.2;0.4;3.0;1.3;0.2;0.6;2.3;1.9;-0.6;-0.3;1.7;1.7;-1.0;-0.3;1.2;1.4
Foreign;2025-02-13;-0.1;1.5;2.2;0.8;0.1;0.3;1.4;3.9;-0.4;-0.9;1.1;0.2;1.1;-0.2;0.3;1.2;1.1;0.5;3.9;1.0;0.1;2.9;2.2;-0.2;0.0;-0.7;1.5;0.7;-1.1;-0.1;2.1;1.2;2.8;0.2;-0.5;1.8;2.1;0.5;1.5;-0.4;0.2;-0.2;0.4;3.0;1.4;0.2;0.6;2.2;1.9;-0.6;-0.3;1.7;1.7;-1.0;-0.3;1.2;1.4
Foreign;2025-02-14;0.1;1.4;2.2;0.8;0.1;0.3;1.5;3.8;-0.5;-0.9;1.1;0.2;1.1;-0.3;0.4;1.2;1.2;0.5;3.6;1.0;0.0;3.0;2.1;0.1;0.1;-0.7;1.5;0.6;-1.1;-0.1;2.2;1.5;2.9;0.3;-0.5;1.8;2.1;0.4;1.5;-0.3;0.2;-0.3;0.5;3.1;1.4;0.2;0.7;2.3;1.9;-0.7;-0.3;1.8;1.7;-0.9;-0.3;1.3;1.4
Foreign;2025-02-15;0.1;1.4;2.3;0.7;0.1;0.2;1.6;3.8;-0.5;-1.0;1.3;0.1;1.1;-0.3;0.3;1.1;1.1;0.5;3.6;1.0;-0.2;3.1;2.1;0.2;0.2;-0.7;1.5;0.8;-1.1;0.0;2.1;1.7;2.8;0.3;-0.5;1.8;2.1;0.4;1.3;-0.1;0.2;-0.2;0.5;3.2;1.4;0.0;0.7;2.1;1.9;-0.7;-0.6;1.8;1.7;-0.9;-0.4;1.5;1.4
Foreign;2025-02-16;0.1;1.4;2.3;0.6;0.1;0.2;1.6;3.9;-0.6;-1.0;1.3;0.0;1.0;-0.2;0.4;1.0;1.1;0.5;3.4;1.0;-0.2;3.1;2.1;0.2;0.3;-0.7;1.6;0.8;-1.1;0.1;2.2;1.9;2.8;0.3;-0.1;1.8;2.0;0.5;1.2;-0.1;0.2;-0.3;0.5;3.2;1.3;0.0;0.7;2.0;2.0;-0.7;-0.6;1.9;1.6;-0.9;-0.4;1.6;1.4
Foreign;2025-02-17;0.1;1.4;2.2;0.5;0.3;0.1;1.5;3.8;-0.7;-0.9;1.4;-0.1;0.9;-0.2;0.5;0.9;1.1;0.5;3.2;0.9;-0.4;3.1;2.3;0.3;0.3;-0.7;1.5;0.9;-1.2;0.4;2.2;1.6;2.5;0.3;-0.1;1.7;1.8;0.5;0.9;-0.1;0.1;-0.2;0.5;3.2;1.3;0.0;0.7;2.0;2.0;-0.7;-0.6;1.9;1.5;-0.6;-0.3;1.6;1.4
Foreign;2025-02-18;0.4;1.3;2.2;0.4;0.1;0.1;1.5;3.8;-0.7;-0.9;1.5;-0.1;0.9;-0.2;0.6;0.8;1.0;0.5;3.0;0.8;-0.3;3.1;2.5;0.2;0.2;-0.7;1.5;0.8;-1.2;0.4;2.3;1.4;2.3;0.4;0.2;1.5;1.7;0.4;0.7;0.1;0.1;-0.3;0.5;3.1;1.3;0.0;0.7;1.7;2.0;-0.7;-0.6;1.9;1.4;-0.7;-0.2;1.6;1.7
Foreign;2025-02-19;0.4;1.2;2.3;0.4;0.1;0.1;1.5;3.8;-0.7;-0.8;1.6;-0.2;0.8;-0.2;0.6;0.9;0.7;0.6;2.9;0.7;-0.3;3.2;2.7;0.1;0.5;-0.7;1.6;0.9;-1.2;0.4;2.3;1.3;2.5;0.4;0.1;1.5;1.6;0.4;0.7;0.0;0.1;-0.3;0.5;3.1;1.1;0.0;0.7;1.7;2.1;-0.8;-0.6;1.7;1.4;-0.7;-0.3;1.7;1.7
Foreign;2025-02-20;0.4;1.2;2.1;0.5;-0.1;0.2;1.5;3.8;-0.7;-0.8;1.8;-0.5;0.9;-0.2;0.5;0.9;0.8;0.7;2.9;0.7;-0.4;3.2;2.8;0.2;0.4;-0.7;1.5;0.9;-1.2;0.4;2.3;1.2;2.6;0.4;0.1;1.5;1.4;0.4;0.6;0.0;0.0;-0.3;0.5;3.1;1.1;0.0;0.7;1.6;2.2;-0.8;-0.6;1.7;1.4;-0.7;-0.3;1.8;1.9
