Date;"United States";Canada;"United Kingdom";Austria;Germany;France;Netherlands;Italy;Spain;Belgium;Ireland;Portugal;Greece;Norway;Denmark;Sweden;Finland;Hungary;Bulgaria;Romania;Poland;Croatia;Russia;Ukraine;Georgia;Kazakhstan;Azerbaijan;Armenia;Turkey;Morocco;Algeria;Tunisia;Libya;Egypt;Israel;Jordan;Syria;Iraq;Iran;Yemen;Bahrain;Qatar;Oman;"Saudi Arabia";Mexico;Uruguay;Brazil;Chile;Colombia;Peru;Argentina;Venezuela;Ecuador;China;Japan;"Hong Kong";"South Korea";Taiwan;Thailand;Indonesia;Malaysia;Philippines;India;Pakistan;Afghanistan
2025-01-15;0.3;0.9;0.1;0.4;0.5;0.3;-0.2;0.3;0.2;-0.3;-0.4;0.0;-0.5;0.2;1.4;0.6;0.6;0.4;-0.5;0.2;0.7;0.6;0.8;1.0;-0.1;-0.3;-0.3;-0.4;-0.1;-0.4;0.3;-1.1;-0.8;0.8;1.4;0.1;-0.2;0.4;0.8;1.7;-1.0;1.7;-0.8;-0.3;1.4;-0.4;0.3;-0.3;0.4;-0.4;0.3;0.4;-0.3;-0.2;-0.3;-0.3;2.6;-0.5;-0.2;-1.0;-1.1;-0.2;-1.0;-0.8;1.1
2025-01-16;0.4;0.9;0.2;0.4;0.4;0.3;-0.2;0.3;0.2;-0.2;-0.1;-0.2;-0.5;0.3;1.3;0.5;0.6;0.4;-0.5;0.1;0.7;0.3;0.8;1.0;-0.3;-0.3;-0.4;-0.3;-0.1;-0.3;0.4;-1.1;-0.7;1.3;1.4;0.3;-0.1;0.6;1.0;1.7;-0.9;1.9;-0.6;-0.1;1.2;-0.6;0.1;-0.5;0.4;-0.3;0.2;0.5;-0.4;-0.3;-0.5;-0.5;2.4;-0.5;-0.1;-0.8;-1.2;-0.4;-1.0;-0.7;1.0
2025-01-17;0.3;0.7;0.2;0.2;0.3;0.2;-0.1;0.2;0.1;-0.3;-0.2;-0.3;-0.5;0.1;1.1;0.5;0.5;0.4;-0.5;0.3;0.6;0.2;0.8;1.0;-0.4;-0.3;-0.2;-0.1;-0.2;0.0;0.5;-1.0;-0.6;1.5;1.5;0.3;0.0;0.7;0.9;1.7;-0.9;2.0;-0.7;-0.2;1.0;-0.7;-0.1;-0.4;0.6;-0.1;0.1;0.5;-0.3;-0.3;-0.4;-0.3;2.4;-0.3;-0.1;-0.8;-1.2;-0.4;-0.9;-0.8;0.7
2025-01-18;0.3;0.8;0.2;0.2;0.2;0.2;-0.1;0.1;0.0;-0.4;-0.1;-0.3;-0.2;-0.1;1.0;0.4;0.5;0.4;-0.6;0.3;0.6;0.1;0.8;0.9;-0.5;-0.4;-0.2;-0.1;-0.2;0.5;0.4;-1.2;-0.7;1.7;1.5;0.3;-0.1;0.8;1.0;1.9;-0.8;2.2;-0.7;-0.3;1.0;-0.8;-0.2;-0.5;0.9;0.1;0.2;0.6;-0.1;-0.3;-0.4;-0.2;2.6;-0.2;0.2;-0.7;-1.4;-0.3;-0.9;-0.8;0.7
2025-01-19;0.4;1.2;0.4;0.3;0.2;0.2;-0.1;0.2;0.1;-0.4;-0.2;-0.4;0.0;-0.2;1.1;0.5;0.6;0.4;-0.5;0.4;0.7;0.0;0.8;1.0;-0.1;0.0;-0.1;-0.1;-0.1;0.5;0.4;-1.4;-0.8;1.9;1.5;0.4;-0.1;0.8;1.0;1.9;-0.9;2.3;-0.7;-0.3;1.4;-0.8;-0.2;-0.7;1.4;0.1;0.6;0.9;-0.2;-0.3;-0.4;-0.2;2.8;-0.1;0.3;-0.5;-1.0;-0.2;-0.8;-0.7;0.5
2025-01-20;0.4;1.5;0.4;0.2;0.2;0.2;0.0;0.3;0.1;-0.3;-0.3;-0.5;0.0;-0.2;1.4;0.4;0.6;0.5;-0.4;0.5;0.7;-0.1;0.8;1.0;0.2;0.0;0.4;0.0;-0.1;0.7;0.3;-1.4;-1.1;1.8;1.4;0.4;-0.1;0.5;0.9;1.6;-0.8;2.2;-0.7;-0.4;2.3;-0.8;-0.1;-0.7;1.9;0.2;0.8;1.3;0.0;-0.2;-0.3;-0.2;2.5;-0.1;0.3;-0.5;-0.9;-0.2;-0.8;-0.8;0.1
2025-01-21;0.4;1.8;0.5;0.0;0.1;0.2;0.0;0.3;0.0;-0.4;-0.4;-0.7;-0.1;-0.2;1.6;0.2;0.5;0.5;-0.4;0.4;0.6;-0.1;0.8;1.0;0.1;-0.2;0.3;0.0;-0.4;0.8;0.5;-1.5;-1.3;1.6;1.4;0.3;-0.1;0.3;0.8;1.2;-0.6;2.2;-0.8;-0.4;3.0;-0.8;0.1;-0.9;2.0;0.2;0.7;1.5;-0.1;0.0;-0.3;-0.3;2.3;-0.1;0.3;-0.6;-0.8;-0.3;-0.7;-0.9;0.2
2025-01-22;0.4;1.8;0.5;0.0;0.1;0.2;-0.1;0.3;-0.1;-0.4;0.0;-0.9;-0.1;-0.4;1.6;0.1;0.4;0.6;-0.4;0.3;0.5;-0.2;0.9;1.1;0.1;-0.2;0.2;-0.2;-0.6;1.1;0.7;-1.6;-1.3;1.5;1.4;0.3;0.0;0.2;0.9;1.2;-0.7;2.0;-0.3;-0.4;3.4;-1.0;0.2;-1.0;2.2;0.2;0.4;1.6;-0.3;0.2;-0.4;-0.3;1.8;-0.1;0.3;-0.7;-0.9;0.0;-0.8;-1.0;0.3
2025-01-23;0.5;1.9;0.5;0.1;0.1;0.1;0.0;0.2;-0.2;-0.3;-0.3;-0.7;-0.3;-0.4;1.5;0.1;0.4;0.6;-0.3;0.4;0.5;-0.1;0.9;1.1;0.1;-0.3;0.1;-0.3;-0.7;1.1;0.7;-1.7;-1.0;1.3;1.4;0.4;-0.2;-0.1;0.9;1.4;-0.7;1.8;0.0;-0.1;3.5;-0.7;0.2;-1.0;2.2;0.2;0.5;1.5;-0.4;0.2;-0.5;-0.4;1.7;-0.1;0.3;-0.7;-0.9;0.2;-0.8;-1.1;0.1
2025-01-24;0.5;1.8;0.4;0.1;0.0;0.1;-0.1;0.0;-0.3;-0.2;-0.6;-0.6;-0.4;-0.3;1.3;0.1;0.4;0.7;-0.3;0.3;0.5;-0.2;0.9;1.1;-0.1;-0.3;0.0;-0.4;-0.8;1.0;0.7;-1.7;-1.1;1.2;1.4;0.3;-0.3;-0.2;0.8;1.4;-0.7;1.7;0.1;0.2;3.5;-0.9;0.2;-1.0;2.2;0.3;0.6;1.5;-0.4;0.2;-0.6;-0.5;1.6;-0.2;0.2;-0.6;-0.5;0.1;-0.8;-1.2;-0.1
2025-01-25;0.6;1.7;0.5;0.4;0.0;0.1;-0.1;0.0;-0.2;-0.2;-0.7;-0.8;-0.4;-0.2;1.2;-0.1;0.4;0.7;-0.4;0.2;0.5;-0.3;0.9;1.1;-0.1;-0.4;0.0;-0.4;-0.8;1.0;1.5;-1.0;-1.1;1.3;1.5;0.3;-0.5;0.4;0.8;1.4;-0.8;1.8;0.0;0.3;3.6;-0.3;0.0;-0.7;2.4;0.6;0.6;1.6;-0.1;0.3;-0.6;-0.7;1.6;-0.1;0.2;-0.4;-0.1;0.4;-0.7;-1.2;0.5
2025-01-26;0.8;1.6;0.7;0.4;0.2;0.3;-0.2;-0.1;-0.1;-0.1;-0.9;-0.8;-0.3;-0.3;1.0;0.1;0.3;0.9;-0.4;0.1;0.7;-0.4;0.9;1.1;-0.1;-0.5;0.1;-0.3;-0.7;0.8;1.6;-0.8;-1.3;1.5;1.5;1.1;-0.5;0.3;1.0;1.3;-0.8;1.9;0.0;0.3;3.5;1.6;-0.1;-0.5;2.1;0.8;0.8;1.5;-0.2;0.1;-0.5;-0.8;2.2;-0.2;0.1;0.2;-0.2;0.3;-0.4;-1.1;0.5
2025-01-27;0.7;1.7;0.8;0.8;0.4;0.4;-0.1;0.0;0.0;0.0;-1.0;-0.5;-0.3;0.3;1.5;0.2;0.4;1.1;-0.3;0.1;1.0;-0.3;0.9;1.1;-0.1;-0.3;0.1;0.1;-0.6;0.7;1.5;-0.9;-1.1;1.6;1.5;1.7;-0.5;0.3;0.9;1.0;-0.9;1.9;0.0;0.2;3.3;3.9;0.1;-0.2;2.0;0.7;1.1;1.5;-0.1;0.0;-0.7;-1.0;1.8;-0.3;-0.1;0.2;-0.3;0.2;-0.6;-1.2;0.2
2025-01-28;0.6;1.5;0.7;0.5;0.3;0.4;-0.2;0.0;0.0;0.2;-0.6;-0.6;-0.4;0.2;1.4;0.2;0.4;0.9;-0.3;0.1;1.1;-0.5;0.9;1.1;0.0;-0.1;0.0;0.2;-0.8;0.5;1.3;-1.1;-1.0;1.5;1.5;1.9;-0.6;0.3;0.8;1.1;-1.0;1.8;-0.1;0.1;3.0;3.9;0.2;-0.2;2.2;0.4;1.1;1.2;-0.1;0.1;-0.7;-0.9;1.5;-0.3;-0.2;0.1;-0.5;0.1;-0.6;-1.3;0.4
2025-01-29;0.4;1.4;0.5;0.4;0.2;0.2;-0.3;0.0;-0.2;0.2;-0.6;-0.7;-0.5;0.0;1.3;0.1;0.3;0.8;-0.5;0.1;0.9;-0.3;0.8;1.1;0.1;-0.2;-0.1;0.1;-0.8;0.3;1.1;-1.2;-0.8;1.4;1.4;2.0;-0.5;0.2;0.8;0.8;-1.1;1.6;-0.1;0.0;2.8;3.5;0.2;-0.2;2.2;0.4;1.0;1.1;-0.1;0.1;-0.8;-0.9;1.2;-0.3;0.0;-0.1;-0.6;0.0;-0.7;-1.4;0.2
2025-01-30;0.3;1.1;0.3;0.3;0.1;0.0;-0.5;-0.1;-0.2;0.2;-0.4;-0.8;-0.6;0.1;1.1;0.2;0.2;0.7;-0.4;0.3;0.8;-0.5;0.7;1.0;0.1;0.1;-0.2;0.0;-0.8;0.2;1.0;-1.1;-0.9;1.4;1.4;1.7;-0.4;0.2;0.6;0.2;-1.1;1.6;-0.2;-0.2;2.3;2.8;0.0;-0.5;2.1;0.4;0.8;1.0;-0.1;0.1;-0.9;-1.0;0.8;-0.3;1.3;0.1;-0.6;-0.2;-0.7;-1.4;0.6
2025-01-31;0.2;1.1;0.2;0.1;0.0;-0.1;-0.4;-0.2;-0.2;0.0;-0.4;-1.0;-0.6;0.0;1.0;0.3;0.2;0.7;-0.4;0.3;0.7;-0.5;0.6;1.0;0.1;0.0;-0.3;-0.1;-0.9;0.2;0.8;-1.1;-0.9;1.3;1.4;1.6;-0.4;0.2;0.5;0.0;-1.2;1.5;0.0;-0.4;2.2;2.3;0.1;-0.7;2.1;0.3;0.6;0.9;-0.1;0.2;-0.9;-1.0;0.6;-0.2;1.8;0.4;-0.3;-0.3;-0.7;-1.5;0.6
2025-02-01;0.2;1.3;0.2;-0.1;-0.1;0.1;-0.2;-0.2;-0.1;-0.1;-0.4;-1.0;-0.6;0.1;1.0;0.3;0.2;0.6;-0.2;0.5;0.7;-0.5;0.7;1.0;0.2;0.0;-0.3;0.0;-1.0;0.1;0.4;-1.1;-1.2;1.5;1.4;1.7;-0.4;0.0;0.4;0.0;-1.2;1.6;0.1;-0.1;2.1;2.0;0.0;-0.9;2.2;0.1;0.7;0.7;-0.1;0.3;-0.8;-1.0;0.6;-0.1;2.3;0.2;-0.2;0.1;-1.0;-1.3;0.3
2025-02-02;0.5;2.0;0.5;0.0;0.1;0.1;-0.2;0.0;0.0;0.4;0.0;-1.0;-0.6;0.1;0.8;0.4;0.3;0.6;-0.2;0.5;0.8;-0.5;0.8;1.1;0.4;0.0;-0.4;0.0;-0.9;0.3;0.3;-1.2;-1.1;1.5;1.4;1.7;-0.3;-0.3;0.6;0.2;-1.0;1.7;0.0;0.2;3.1;1.8;0.0;-0.9;2.2;0.1;0.9;0.6;0.0;0.9;-0.8;-0.8;0.7;0.0;2.1;0.0;-0.3;-0.1;-1.0;-1.2;0.4
2025-02-03;0.7;2.8;0.7;0.2;0.2;0.1;0.1;0.0;0.0;0.7;0.1;-1.0;-0.7;0.2;1.2;0.3;0.5;0.6;-0.2;0.4;0.8;-0.2;0.8;1.1;0.4;-0.2;-0.4;0.0;-0.9;0.3;0.2;-1.0;-0.9;1.4;1.3;1.8;-0.3;-0.6;0.5;0.4;-0.7;1.5;0.3;0.3;4.1;1.8;0.0;-0.9;2.2;0.0;1.0;0.6;0.3;1.6;-0.5;-0.2;0.7;0.1;2.0;0.0;-0.1;-0.3;-1.0;-1.2;0.2
2025-02-04;0.7;3.3;0.7;0.1;0.2;-0.1;0.0;-0.1;-0.1;0.9;0.1;-1.1;-0.7;0.3;1.2;0.4;0.5;0.5;-0.3;0.3;0.8;-0.3;0.8;1.1;0.2;-0.2;-0.4;0.0;-0.7;0.3;0.1;-1.1;-0.7;1.4;1.3;1.8;-0.2;-0.5;0.5;0.4;-0.5;1.6;0.3;0.7;4.9;1.3;0.1;-1.1;2.2;0.1;0.8;0.6;0.5;1.9;-0.4;0.5;1.0;0.2;1.9;-0.1;0.2;-0.2;-0.9;-1.2;0.1
2025-02-05;0.8;3.6;0.8;0.0;0.2;-0.1;0.0;-0.2;0.0;0.9;0.3;-1.1;-0.8;0.2;1.2;0.5;0.5;0.4;-0.3;0.2;0.7;-0.3;0.8;1.0;0.1;-0.3;-0.4;0.0;-0.6;0.3;-0.1;-1.1;-0.8;1.7;1.2;2.2;-0.1;-0.4;0.5;0.3;-0.2;1.7;0.2;1.2;5.0;1.0;0.2;-1.1;2.0;0.1;0.7;0.6;0.5;1.9;-0.5;0.6;1.0;0.2;1.5;-0.1;0.1;0.1;-0.8;-1.1;-0.4
2025-02-06;0.7;3.5;0.7;-0.1;0.1;0.0;0.1;-0.2;0.2;0.9;0.9;-1.1;-0.9;0.5;1.2;0.6;0.6;0.4;-0.4;0.2;0.6;-0.4;0.7;1.1;0.0;-0.3;-0.4;-0.1;-0.6;0.3;-0.5;-1.0;-0.5;1.7;1.2;2.3;-0.3;-0.3;0.5;0.0;0.0;1.7;0.1;1.1;4.7;0.8;0.2;-1.0;1.8;0.2;0.5;0.7;0.4;1.7;-0.5;0.7;0.8;0.0;1.2;-0.1;0.1;0.2;-0.8;-1.1;-0.2
2025-02-07;0.8;3.4;0.7;0.0;0.1;0.0;0.7;-0.2;0.2;1.0;0.9;-0.9;-1.0;0.5;1.1;0.5;0.5;0.4;-0.5;0.1;0.5;-0.5;0.7;1.1;-0.2;-0.3;-0.4;-0.1;-0.7;0.3;-0.5;-0.9;-0.7;1.7;1.2;2.2;-0.5;-0.3;0.4;-0.3;0.0;1.5;0.1;1.1;4.5;0.6;0.1;-0.9;1.7;0.2;0.4;0.7;0.5;1.6;-0.4;0.6;0.7;0.0;1.2;-0.1;0.0;0.5;-0.7;-1.1;0.3
2025-02-08;0.7;3.0;0.6;0.0;0.1;0.0;0.6;-0.1;0.3;1.1;0.7;-0.6;-0.9;0.5;1.0;0.5;0.5;0.4;-0.5;0.0;0.6;-0.5;0.7;1.0;-0.3;-0.2;-0.3;0.1;-0.6;0.3;-0.5;-1.0;-0.8;1.7;1.2;2.0;-0.5;-0.5;0.3;-0.2;-0.1;1.5;-0.1;1.0;4.2;0.4;0.1;-0.9;1.6;0.4;0.5;0.7;0.8;1.3;-0.2;0.4;0.6;0.0;1.1;-0.2;-0.1;0.4;-0.7;-1.2;0.3
2025-02-09;0.8;2.8;0.8;-0.1;0.2;0.1;0.5;-0.1;0.5;1.2;1.1;-0.6;-0.7;0.4;1.0;0.3;0.4;0.5;-0.4;0.0;0.7;-0.6;0.8;1.1;-0.3;-0.2;-0.3;0.2;-0.6;0.4;0.6;-0.5;-0.2;1.7;1.2;1.9;-0.6;-0.6;0.6;-0.2;-0.3;1.7;-0.2;1.2;3.9;0.6;0.4;-0.8;1.6;0.6;0.6;0.7;1.1;1.3;0.2;0.3;1.2;-0.1;2.1;-0.3;0.0;0.4;-0.6;-1.2;0.1
2025-02-10;0.8;2.7;0.7;0.0;0.2;0.1;0.5;0.0;0.5;1.0;0.9;-0.5;-0.7;0.2;1.1;0.2;0.4;0.5;-0.4;-0.1;0.6;-0.3;0.8;1.1;-0.4;-0.2;-0.3;0.1;-0.7;0.3;0.5;-0.3;-0.1;1.7;1.2;1.9;-0.5;-0.9;0.7;-0.2;-0.5;1.5;-0.4;1.1;3.8;0.9;0.7;-0.8;1.6;0.6;0.6;0.6;1.2;1.3;0.2;0.3;1.1;-0.1;1.9;-0.2;0.5;0.4;-0.4;-1.2;-0.1
2025-02-11;0.8;2.7;0.7;-0.2;0.3;0.1;0.5;0.0;0.5;1.1;0.7;-0.5;-0.8;0.1;1.1;0.2;0.4;0.5;-0.4;-0.2;0.6;-0.3;0.8;1.1;-0.5;-0.2;-0.3;0.1;-0.9;0.3;0.7;0.1;-0.1;1.7;1.2;2.0;-0.5;-0.7;0.6;-0.3;-0.6;1.5;-0.3;1.0;3.8;1.0;1.1;-0.9;1.3;0.7;0.8;0.5;1.2;1.2;0.2;0.3;1.2;-0.1;1.9;-0.3;0.6;0.1;-0.3;-1.2;-0.1
2025-02-12;0.9;2.6;0.8;-0.1;0.3;0.2;0.5;-0.1;0.5;1.1;0.4;-0.5;-0.7;0.0;1.2;0.2;0.4;0.4;-0.3;-0.2;0.6;-0.5;0.9;1.1;-0.5;-0.2;-0.3;0.1;-0.9;0.2;0.6;-0.1;-0.4;1.7;1.2;2.1;-0.7;-0.5;0.6;-0.3;-0.6;1.5;-0.3;1.0;3.7;0.7;1.2;-0.8;1.2;0.7;0.7;0.4;1.0;1.1;0.2;0.1;1.0;-0.2;1.6;-0.4;0.7;-0.1;-0.2;-1.2;-0.2
2025-02-13;1.0;2.6;0.9;0.0;0.5;0.5;0.5;0.1;0.8;1.5;0.2;-0.4;-0.4;-0.1;1.2;0.3;0.5;0.4;-0.2;0.1;0.8;-0.4;1.0;1.2;-0.3;-0.3;-0.3;0.1;-0.9;0.0;0.7;-0.1;-0.5;1.6;1.1;2.0;-0.7;-0.5;0.6;-0.5;-0.7;1.5;-0.2;1.5;3.6;1.1;1.2;-0.8;1.1;0.6;0.6;0.3;0.9;1.1;0.1;0.1;1.1;-0.2;1.6;-0.4;0.7;0.0;-0.1;-1.1;-0.2
2025-02-14;1.1;2.6;1.0;0.0;0.8;0.7;0.5;0.4;0.8;1.3;0.3;-0.4;-0.4;0.0;1.3;0.3;0.4;0.7;-0.2;0.3;0.9;-0.3;1.0;1.2;-0.2;-0.2;-0.3;0.1;-0.9;-0.1;0.8;-0.2;-0.7;1.6;1.1;1.9;-0.7;-0.4;0.6;-0.6;-0.5;1.5;-0.1;1.6;3.5;0.9;1.2;-0.8;1.2;0.6;0.7;0.5;1.2;1.2;0.3;0.1;0.9;-0.2;1.5;-0.4;1.0;0.0;0.3;-0.8;0.2
